Component ID,Component Type,Deployment Area,Risky,Longitude,Latitude,Point1,Point2,Road Geometric,Lightning,WBGT,Visibility,,
Canberra,Deployment Area,Canberra,,94.75,135.28,,,,,,,,
Reindeer,Deployment Area,Reindeer,,103.5,134,,,,,,,,
Monty,Deployment Area,Monty,,100.17,129,,,,,,,,
Potland,Deployment Area,Potland,,120.5,119,,,,,,,,
Chisel,Deployment Area,Chisel,,104.81,116.63,,,,,,,,
Atila,Deployment Area,Atila,,111.9,116.7,,,,,,,,
Sundra,Deployment Area,Sundra,,110.5,112.3,,,,,,,,
N125,Deployment Ground,Sundra,,111.07,111.5,,,,,,,,
N123,Rendezvous Point,Sundra,,111.42,110.48,,,,,,,,
Adam,Deployment Area,Adam,,120.46,113.5,,,,,,,,
Jerome,Deployment Area,Jerome,,123.77,114.75,,,,,,,,
Camphor,Deployment Area,Camphor,,123.92,112.16,,,,,,,,
Dorset,Deployment Area,Dorset,,128.54,112.67,,,,,,,,
Oxford,Deployment Area,Oxford,,128.38,110.33,,,,,,,,
Normandy,Deployment Area,Normandy,,101.15,108.5,,,,,,,,
Napolean,Deployment Area,Napolean,,108.75,107.2,,,,,,,,
Dallas,Deployment Area,Dallas,,101.37,102.86,,,,,,,,
Lester,Deployment Area,Lester,,116.33,101.06,,,,,,,,
N118,Rendezvous Point,Lester,,115.68,102.66,,,,,,,,
N58,Deployment Ground,Lester,,116,101.76,,,,,,,,
C1,Deployment Ground,Lester,,116.57,101.17,,,,,,,,
C2,Deployment Ground,Lester,,116.84,100.17,,,,,,,,
C106,Rendezvous Point,Lester,,117.31,99.59,,,,,,,,
Lily,Deployment Area,Lily,,131.93,102.93,,,,,,,,
N56,Deployment Ground,Lily,,131.12,104.19,,,,,,,,
N57,Deployment Ground,Lily,,131.59,103.31,,,,,,,,
C9,Deployment Ground,Lily,,131.35,102.37,,,,,,,,
C129,Rendezvous Point,Lily,,130.75,101.31,,,,,,,,
Macbeth,Deployment Area,Macbeth,,136.75,100.06,,,,,,,,
Liston,Deployment Area,Liston,,131.33,96.41,,,,,,,,
C126,Deployment Ground,Liston,,131.8,97.42,,,,,,,,
C125,Rendezvous Point,Liston,,131.33,96.53,,,,,,,,
Bihar,Deployment Area,Bihar,,141.23,97.7,,,,,,,,
Nato,Deployment Area,Nato,,139.93,94.64,,,,,,,,
C26,Deployment Ground,Nato,,140.4,94.78,,,,,,,,
C25,Rendezvous Point,Nato,,138.66,93.71,,,,,,,,
Daisy,Deployment Area,Daisy,,101.72,93.8,,,,,,,,
Ottawa,Deployment Area,Ottawa,,107.63,94.7,,,,,,,,
Windy,Deployment Area,Windy,,116.89,93.29,,,,,,,,
C103,Rendezvous Point,Windy,,116.41,97.29,,,,,,,,
C102,Deployment Ground,Windy,,115.72,96.35,,,,,,,,
C101,Deployment Ground,Windy,,116.16,95.25,,,,,,,,
C100,Deployment Ground,Windy,,116.22,94.17,,,,,,,,
C136,Deployment Ground,Windy,,117.05,93.23,,,,,,,,
C135,Rendezvous Point,Windy,,117.61,91.76,,,,,,,,
Palmbeach,Deployment Area,Palmbeach,,130.89,91.17,,,,,,,,
C121,Deployment Ground,Palmbeach,,130.94,91.05,,,,,,,,
Francis,Deployment Area,Francis,,161.14,90.61,,,,,,,,
Kim,Deployment Area,Kim,,171.87,92.07,,,,,,,,
Lancer,Deployment Area,Lancer,,106.93,86.14,,,,,,,,
Paladin,Deployment Area,Paladin,,112.12,87.62,,,,,,,,
Cartier,Deployment Area,Cartier,TRUE,119.81,85.93,,,,,,,,
