,,,,,Longitude_1,Latitude_1,Longitude_2,Latitude_2
SUNDRA-LESTER,Path,Beginner,N123,N118,111.42,110.48,115.68,102.66
LESTER-WINDY,Path,Beginner,C106,C103,117.31,99.59,116.41,97.29
WINDY-VERMONT,Path,Beginner,C135,C115,117.61,91.76,127.56,86.43
WINDY-CARTIER,Path,Beginner,C135,C130,117.61,91.76,118.75,87.25
CARTIER-SERPENTINE,Path,Beginner,C94,C87,119.25,85.4,113.55,81.64
CARTIER-MELODY,Path,Beginner,C64,C62,120.12,83.8,121.23,80.62
SERPENTINE-CABIN,Path,Beginner,C66,E999,113.07,81.52,106.5,76.89
PELICAN-CABIN,Path,Beginner,C69,E999,106.9,79.36,106.5,76.89
MELODY-SPIKE,Path,Beginner,C91,C55,122.81,79.93,126.05,80.5
MELODY-YAOHAN,Path,Beginner,C59,S70,121.64,79.06,122.12,78.41
YAOHAN-SPIKE,Path,Beginner,S76,S4,126.32,74.08,128.76,76.89
YAOHAN-REGATA,Path,Beginner,S76,S50,126.32,74.08,123.18,71.42
SPIKE-KENNEX,Path,Beginner,C48,C43,129.8,81.78,132.66,84.23
VERMONT-KENNEX,Path,Beginner,C115,R60,127.56,86.43,131.88,85.12
KENNEX-PALMBEACH,Path,Beginner,C38,C121,133.58,86.56,130.94,91.05
PALMBEACH-LISTON,Path,Beginner,C121,C125,130.94,91.05,131.33,96.53
LISTON-LILY,Path,Beginner,C126,C129,131.8,97.42,130.75,101.31
KENNEX-YARDLEY,Path,Beginner,C34,C30,135.17,87.75,136.94,88.88
YARDLEY-RASPUTIN,Path,Beginner,C31,C32,137.47,88.77,138.21,88.46
YARDLEY-NATO,Path,Beginner,C28,C25,137.36,90.38,138.66,93.71
RASPUTIN-MALITO,Path,Beginner,E77,E76,143.36,86.83,143.93,85.85
MALITO-GOLAN,Path,Beginner,E67,E103,148.4,80.91,150.68,79.69
MALITO-TYRO,Path,Beginner,E66,E64,148.04,80.41,148.08,78.13
TYRO-WINDSOR,Path,Beginner,E64,E62,148.08,78.13,145.84,74.26
TYRO-WINDSOR,Path,Beginner,E50,E52,148.76,77.6,147.04,76.08
TYRO-GOLAN,Path,Beginner,E50,E49,148.76,77.6,149.56,78.78
GOLAN-GOLAN,Path,Beginner,E47,E37,151.08,78.65,155.92,80.08
GOLAN-WILSON,Path,Beginner,E35,E32,155.44,81.21,156.48,83.62
N125-N123,Path,Beginner,N125,N123,111.07,111.5,111.42,110.48
N118-N58,Path,Beginner,N118,N58,115.68,102.66,116,101.76
N58-C1,Path,Beginner,N58,C1,116,101.76,116.57,101.17
C1-C2,Path,Beginner,C1,C2,116.57,101.17,116.84,100.17
C2-C106,Path,Beginner,C2,C106,116.84,100.17,117.31,99.59
C103-C102,Path,Beginner,C103,C102,116.41,97.29,115.72,96.35
C102-C101,Path,Beginner,C102,C101,115.72,96.35,116.16,95.25
C101-C100,Path,Beginner,C101,C100,116.16,95.25,116.22,94.17
C100-C136,Path,Beginner,C100,C136,116.22,94.17,117.05,93.23
C136-C135,Path,Beginner,C136,C135,117.05,93.23,117.61,91.76
C130-C97,Path,Beginner,C130,C97,118.75,87.25,118.56,86.93
C97-C98,Path,Beginner,C97,C98,118.56,86.93,119.87,86.33
C98-C99,Path,Beginner,C98,C99,119.87,86.33,119.88,85.93
C99-C96,Path,Beginner,C99,C96,119.88,85.93,120.06,85.56
C96-C94,Path,Beginner,C96,C94,120.06,85.56,119.25,85.4
C96-C95,Path,Beginner,C96,C95,120.06,85.56,119.56,84.6
C95-C64,Path,Beginner,C95,C64,119.56,84.6,120.12,83.8
C66-C87,Path,Beginner,C66,C87,113.07,81.52,113.55,81.64
C87-C88,Path,Beginner,C87,C88,113.55,81.64,113.34,81.5
C62-C61,Path,Beginner,C62,C61,121.23,80.62,121.7,80.06
C61-C92,Path,Beginner,C61,C92,121.7,80.06,122.25,79.86
C92-C91,Path,Beginner,C92,C91,122.25,79.86,122.81,79.93
C61-C60,Path,Beginner,C61,C60,121.7,80.06,121.76,79.53
C60-C59,Path,Beginner,C60,C59,121.76,79.53,121.64,79.06
C55-C54,Path,Beginner,C55,C54,126.05,80.5,127.15,80.27
C54-C53,Path,Beginner,C54,C53,127.15,80.27,127.42,79.88
C53-C52,Path,Beginner,C53,C52,127.42,79.88,127.84,79.55
C52-C51,Path,Beginner,C52,C51,127.84,79.55,128.42,79.52
C51-S1,Path,Beginner,C51,S1,128.42,79.52,128.52,79.2
