,Component ID,Component Type,Deployment Area,Longitude,Latitude,MGRS,Coordinates
0,CANBERRA,Deployment Area,CANBERRA,,35.5,,
1,REINDEER,Deployment Area,REINDEER,,134.0,,
2,MONTY,Deployment Area,MONTY,,29.0,,
3,CHISEL,Deployment Area,CHISEL,104.5,116.5,56KKA04501650,"(-22.43226173333454, 150.129279643986)"
4,ATILA,Deployment Area,ATILA,112.0,117.0,56KKA12001700,"(-22.42902862011187, 150.20216356192648)"
5,POTLAND,Deployment Area,POTLAND,119.0,120.5,56KKA19002050,"(-22.39860877608211, 150.27072411897186)"
6,SUNDRA,Deployment Area,SUNDRA,110.5,112.0,56KKA10501200,"(-22.473891235239396, 150.18669419100183)"
7,ADAM,Deployment Area,ADAM,113.5,120.5,56KKA13502050,"(-22.397698431732618, 150.21735197231894)"
8,JEROME,Deployment Area,JEROME,115.0,123.5,56KKA15002350,"(-22.370877799199956, 150.23244366339503)"
9,CAMPHOR,Deployment Area,CAMPHOR,112.0,124.0,56KKA12002400,"(-22.365865449364357, 150.2034281316162)"
10,DORSET,Deployment Area,DORSET,128.5,112.5,56KKA28501250,"(-22.472335488997775, 150.36155324082634)"
11,OXFORD,Deployment Area,OXFORD,110.5,128.5,56KKA10502850,"(-22.32500852364519, 150.18969081030733)"
12,NORMANDY,Deployment Area,NORMANDY,108.5,101.0,56KKA08500100,"(-22.572802811375844, 150.1652510840911)"
13,NAPOLEAN,Deployment Area,NAPOLEAN,108.5,107.5,56KKA08500750,"(-22.514154224727587, 150.1664494338244)"
14,DALLAS,Deployment Area,DALLAS,101.5,103.0,56KKA01500300,"(-22.55354336372744, 150.09762250692535)"
15,LESTER,Deployment Area,LESTER,116.0,101.0,56KKA16000100,"(-22.57407257495891, 150.23812035159156)"
16,LILY,Deployment Area,LILY,132.0,103.0,56KKA32000300,"(-22.558622084654036, 150.3939313333506)"
17,MACBETH,Deployment Area,MACBETH,136.5,100.5,56KKA36500050,"(-22.581887402614267, 150.43723872965452)"
18,BIHAR,Deployment Area,BIHAR,97.5,40.0,56KJV97504000,"(-23.12119923349359, 150.0465153684461)"
