,Component ID,Component Type,Deployment Area,Risky,Longitude,Latitude,Point1,Point2,Road Geometric,Lightning,WBGT,Visibility,Unnamed: 12,Unnamed: 13,MGRS,Revised_Latitude,Revised_Longitude
0,Canberra,Deployment Area,Canberra,,94.75,135.28,,,,,,,,,56KJA947352,-22.261829680283448,150.03774142363497
1,Reindeer,Deployment Area,Reindeer,,103.5,134.0,,,,,,,,,56KKA035340,-22.274191203941598,150.12282069512833
2,Monty,Deployment Area,Monty,,100.17,129.0,,,,,,,,,56KKA001290,-22.31871609285923,150.08892500531357
3,Potland,Deployment Area,Potland,,120.5,119.0,,,,,,,,,56KKA205190,-22.412389892994508,150.28501752068308
4,Chisel,Deployment Area,Chisel,,104.81,116.63,,,,,,,,,56KKA048166,-22.431411230842738,150.13220983157248
5,Atila,Deployment Area,Atila,,111.9,116.7,,,,,,,,,56KKA119167,-22.4317187705354,150.20113866402212
6,Sundra,Deployment Area,Sundra,,110.5,112.3,,,,,,,,,56KKA105122,-22.47208661501126,150.1867306650989
7,N125,Deployment Ground,Sundra,,111.07,111.5,,,,,,,,,56KKA110115,-22.478487478988246,150.19145756782478
8,N123,Rendezvous Point,Sundra,,111.42,110.48,,,,,,,,,56KKA114104,-22.488480601294096,150.19514114340828
9,Adam,Deployment Area,Adam,,120.46,113.5,,,,,,,,,56KKA204135,-22.462004921892955,150.2830801648802
10,Jerome,Deployment Area,Jerome,,123.77,114.75,,,,,,,,,56KKA237147,-22.451712758167314,150.3153283316898
11,Camphor,Deployment Area,Camphor,,123.92,112.16,,,,,,,,,56KKA239121,-22.47520773205551,150.31681799828849
12,Dorset,Deployment Area,Dorset,,128.54,112.67,,,,,,,,,56KKA285126,-22.471433047004208,150.3615703443021
13,Oxford,Deployment Area,Oxford,,128.38,110.33,,,,,,,,,56KKA283103,-22.492157349281396,150.35923444308088
14,Normandy,Deployment Area,Normandy,,101.15,108.5,,,,,,,,,56KKA011085,-22.503850443856248,150.09477588687707
15,Napolean,Deployment Area,Napolean,,108.75,107.2,,,,,,,,,56KKA087072,-22.51689528745348,150.16833654411823
16,Dallas,Deployment Area,Dallas,,101.37,102.86,,,,,,,,,56KKA013028,-22.555312720868272,150.09564197853206
17,Lester,Deployment Area,Lester,,116.33,101.06,,,,,,,,,56KKA163010,-22.57412267965323,150.241035230353
18,N118,Rendezvous Point,Lester,,115.68,102.66,,,,,,,,,56KKA156026,-22.55956830459575,150.23452204141952
19,N58,Deployment Ground,Lester,,116.0,101.76,,,,,,,,,56KKA160017,-22.567756203207917,150.2382462834501
20,C1,Deployment Ground,Lester,,116.57,101.17,,,,,,,,,56KKA165011,-22.573253711296545,150.24299644889706
21,C2,Deployment Ground,Lester,,116.84,100.17,,,,,,,,,56KKA168001,-22.58232716455245,150.24573185604484
22,C106,Rendezvous Point,Lester,,117.31,99.59,,,,,,,,,56KKV173995,-22.587824521571125,150.25048277823632
23,Lily,Deployment Area,Lily,,131.93,102.93,,,,,,,,,56KKA319029,-22.559508778615832,150.39294271977494
24,N56,Deployment Ground,Lily,,131.12,104.19,,,,,,,,,56KKA311041,-22.548553073397148,150.38537379859264
25,N57,Deployment Ground,Lily,,131.59,103.31,,,,,,,,,56KKA315033,-22.55583586356293,150.38912412797185
26,C9,Deployment Ground,Lily,,131.35,102.37,,,,,,,,,56KKA313023,-22.564828787559197,150.38701077334437
27,C129,Rendezvous Point,Lily,,130.75,101.31,,,,,,,,,56KKA307013,-22.57375831077665,150.3810101277427
28,Macbeth,Deployment Area,Macbeth,,136.75,100.06,,,,,,,,,56KKA367000,-22.58643083980175,150.43909894120284
29,Liston,Deployment Area,Liston,,131.33,96.41,,,,,,,,,56KKV313964,-22.618073143970975,150.38600529683282
30,C126,Deployment Ground,Liston,,131.8,97.42,,,,,,,,,56KKV318974,-22.609127822914655,150.39103588385015
31,C125,Rendezvous Point,Liston,,131.33,96.53,,,,,,,,,56KKV313965,-22.617170700545863,150.3860223639637
32,Bihar,Deployment Area,Bihar,,141.23,97.7,,,,,,,,,56KKV412977,-22.607880368053095,150.48245631267292
33,Nato,Deployment Area,Nato,,139.93,94.64,,,,,,,,,56KKV399946,-22.635659135790053,150.46930739660135
34,C26,Deployment Ground,Nato,,140.4,94.78,,,,,,,,,56KKV404947,-22.634833318141837,150.47418511094853
35,C25,Rendezvous Point,Nato,,138.66,93.71,,,,,,,,,56KKV386937,-22.643581484131758,150.4565187335842
36,Daisy,Deployment Area,Daisy,,101.72,93.8,,,,,,,,,56KKV017938,-22.636583319071523,150.0978245376606
37,Ottawa,Deployment Area,Ottawa,,107.63,94.7,,,,,,,,,56KKV076947,-22.6294913415379,150.15533827480806
38,Windy,Deployment Area,Windy,,116.89,93.29,,,,,,,,,56KKV168932,-22.644588578516633,150.24449104649847
39,C103,Rendezvous Point,Windy,,116.41,97.29,,,,,,,,,56KKV164972,-22.60842825888538,150.24132340513916
40,C102,Deployment Ground,Windy,,115.72,96.35,,,,,,,,,56KKV157963,-22.616432091868138,150.23435788503124
41,C101,Deployment Ground,Windy,,116.16,95.25,,,,,,,,,56KKV161952,-22.626424760313363,150.23804718074626
42,C100,Deployment Ground,Windy,,116.22,94.17,,,,,,,,,56KKV162941,-22.6363671633673,150.23882074429608
43,C136,Deployment Ground,Windy,,117.05,93.23,,,,,,,,,56KKV170932,-22.644622008828854,150.24643529914078
44,C135,Rendezvous Point,Windy,,117.61,91.76,,,,,,,,,56KKV176917,-22.658257264612494,150.25199852198642
45,Palmbeach,Deployment Area,Palmbeach,,130.89,91.17,,,,,,,,,56KKV308911,-22.665822996613578,150.38023756729487
46,C121,Deployment Ground,Palmbeach,,130.94,91.05,,,,,,,,,56KKV309910,-22.666741340103126,150.38119281191737
47,Francis,Deployment Area,Francis,,161.14,90.61,,,,,,,,,56KKV611906,-22.67488695028996,150.67483216980068
48,Kim,Deployment Area,Kim,,171.87,92.07,,,,,,,,,56KKV718920,-22.663727179396666,150.77911518900746
49,Lancer,Deployment Area,Lancer,,106.93,86.14,,,,,,,,,56KKV069861,-22.70696460640326,150.14692923991245
50,Paladin,Deployment Area,Paladin,,112.12,87.62,,,,,,,,,56KKV121876,-22.694324831523637,150.19777523401913
51,Cartier,Deployment Area,Cartier,TRUE,119.81,85.93,,,,,,,,,56KKV198859,-22.71095934669938,150.27235163567582
52,C130,Rendezvous Point,Cartier,,118.75,87.25,,,,,,,,,56KKV187872,-22.699045970443475,150.26188632092155
53,C97,Deployment Ground,Cartier,,118.56,86.93,,,,,,,,,56KKV185869,-22.701719674477292,150.25988738793106
54,C98,Deployment Ground,Cartier,,119.87,86.33,,,,,,,,,56KKV198863,-22.707349949724414,150.2724231900768
55,C99,Deployment Ground,Cartier,,119.88,85.93,,,,,,,,,56KKV198859,-22.71095934669938,150.27235163567582
56,C96,Deployment Ground,Cartier,,120.06,85.56,,,,,,,,,56KKV200855,-22.714601931704685,150.27422535174586
57,C94,Rendezvous Point,Cartier,,119.25,85.4,,,,,,,,,56KKV192854,-22.71537137463248,150.26642630089788
58,C95,Deployment Ground,Cartier,,119.56,84.6,,,,,,,,,56KKV195846,-22.722640025300322,150.26920089108765
59,C64,Rendezvous Point,Cartier,,120.12,83.8,,,,,,,,,56KKV201838,-22.729958463840845,150.27489399018066
60,Vermont,Deployment Area,Vermont,TRUE,127.72,87.06,,,,,,,,,56KKV277870,-22.702325688279828,150.34938233070932
61,C115,Deployment Ground,Vermont,,127.56,86.43,,,,,,,,,56KKV275864,-22.707707861920767,150.3473327373784
62,Kennex,Deployment Area,Kennex,TRUE,133.77,85.88,,,,,,,,,56KKV337858,-22.714111873093046,150.40753689807858
63,R60,Rendezvous Point,Kennex,,131.88,85.12,,,,,,,,,56KKV318851,-22.72012806711756,150.38893497188914
64,R61,Deployment Ground,Kennex,,132.05,85.11,,,,,,,,,56KKV320851,-22.720159845399,150.39088052095747
65,R63,Deployment Ground,Kennex,,133.0,85.25,,,,,,,,,56KKV330852,-22.71941593991462,150.4006253755161
66,C42,Deployment Ground,Kennex,,133.05,84.87,,,,,,,,,56KKV330848,-22.723025709023155,150.40055714170566
67,C43,Rendezvous Point,Kennex,,132.66,84.23,,,,,,,,,56KKV326842,-22.728376990251334,150.39656340643583
68,C41,Deployment Ground,Kennex,,133.24,85.37,,,,,,,,,56KKV332853,-22.718545131067685,150.40258797621775
69,C40,Deployment Ground,Kennex,,133.41,85.75,,,,,,,,,56KKV334857,-22.714966958620675,150.40460163875647
70,C37,Deployment Ground,Kennex,,134.05,86.33,,,,,,,,,56KKV340863,-22.709646928172496,150.4105400673437
71,C38,Rendezvous Point,Kennex,,133.58,86.56,,,,,,,,,56KKV335865,-22.707763175918192,150.40571052549546
72,C36,Deployment Ground,Kennex,,134.41,86.56,,,,,,,,,56KKV344865,-22.70790500071402,150.41446485412928
73,C35,Deployment Ground,Kennex,,134.76,87.12,,,,,,,,,56KKV347871,-22.702537432530942,150.4174845876577
74,C34,Rendezvous Point,Kennex,,135.17,87.75,,,,,,,,,56KKV351877,-22.69718546725931,150.4214767053466
75,Yardley,Deployment Area,Yardley,,136.89,89.77,,,,,,,,,56KKV368897,-22.679401754742255,150.4383473531542
76,C30,Rendezvous Point,Yardley,,136.94,88.88,,,,,,,,,56KKV369888,-22.687539586703124,150.43916891243623
77,C31,Rendezvous Point,Yardley,,137.47,88.77,,,,,,,,,56KKV374887,-22.68851983159057,150.44401508775573
78,C29,Deployment Ground,Yardley,,137.05,89.33,,,,,,,,,56KKV370893,-22.68304277930982,150.44022534145103
79,C28,Rendezvous Point,Yardley,,137.36,90.38,,,,,,,,,56KKV373903,-22.674064655135822,150.44331043750796
80,Rasputin,Deployment Area,Rasputin,,140.85,87.85,,,,,,,,,56KKV408878,-22.697167261516103,150.4769349226588
81,C32,Rendezvous Point,Rasputin,,138.21,88.46,,,,,,,,,56KKV382884,-22.691351405632226,150.45174576577975
82,E85,Deployment Ground,Rasputin,,139.04,88.37,,,,,,,,,56KKV390883,-22.692377659313085,150.45951009428464
